Address,Total Staked SYNR,Average Staked SYNR,SYNR Passes As SYNR Equivalent,Free Farms,Guaranteed Whitelists Turf,Guaranteed Whitelist Farms,Entry to Raffle for Guaranteed Whitelist Farm
0xBDE57910f8B6F440860eE97851d847c61C88F861,278369,278369,0,0,1,0,0
0xabCac8056859342f2f5443995E2456531E9C1c94,276131,276131,0,0,1,0,0
0x9533AaFeF1674c853A46A92508aa0a57460649Bc,266045,266045,0,0,1,0,0
0x0D734AD7591E5b3388555639653Dd82edF80b5d2,259400,259400,0,0,1,0,0
0xC409ad6C5c6150d38dd9a3Ca08577463a32D931E,258999,258999,0,0,1,0,0
0x1a23e175222dB2fd68e9f44Fd136486E05310E7c,258428,258428,0,0,1,0,0
0xf628cE0687d35089FBef40aD3680356E7B638863,77717,77717,1,1,0,1,0
0xdD9dcB09381c33782A30Ea72C530b67A62518188,255569,255569,0,0,1,0,0
0x4658D8e00dB12575E1D83C90D2CF317b4Fd619C9,254137,254137,0,0,1,0,0
0xeAbaF68F3E9Ac0723E1c41f8C785255bEd4D4ae1,253966,253966,0,0,1,0,0
0x7E2Eb68f349e15632723bE7F95eE43B8339324Df,253744,253744,0,0,1,0,0
0x8675c727af3687A10e39904C2C39566392FB6410,253738,253738,0,0,1,0,0
0x0CD0a37c85030460bc3c83a2e60bF2406718cC97,253659,253659,0,0,1,0,0
0x14aDBC8572a3465b2ecD36eb4C95C9C9c85b5cdF,253500,253500,0,0,1,0,0
0x99c444B79703E4E95b21b4732b389eF49b81A1d0,253375,253375,0,0,1,0,0
0x941795EC06d62672C48138e77AD0B7A7b905ADCd,252038,252038,0,0,1,0,0
0x86E4F4AE2e09bcEc1dFDeeAa7c378821e56b7b3e,71502,71502,1,1,0,1,0
0xf7dF16F633Adc3F8018CA07D70f7AD72326F18E0,251003,251003,0,0,1,0,0
0x1eFcFA6055F782a9c6d5091e9Fa1E5a673574AD3,251000,251000,0,0,1,0,0
0x365301f69bEA22F92a572b15836D3a643A757f80,250109,250109,0,0,1,0,0
0x88046FA2b9a9e4B44B7722c9Cc317B8407a24DD2,250001,250001,0,0,1,0,0
0x88aa10d71ec0e84a4FE1cFA0797Da830D24c029A,250001,250001,0,0,1,0,0
0x9944883DE083fD1F87a206D09EFf490f626D7AA7,250001,250001,0,0,1,0,0
0xfFA7A5E6401257460aDf8e6F76E6d43F813704C4,250000,250000,0,0,1,0,0
0x59FC43183C6b3E874d9F7eeaF79A0F708A8Cc08D,68235,68235,1,1,0,1,0
0x95425e5abb5CEce0C5653DD77bE02b7913e53488,245708,245708,0,0,0,1,0
0xb299D1c0904691B3EBCB337293bd5eD657036eC1,63631,63631,1,1,0,1,0
0xfc2De7d47C02f80Ce439950c5Fe399Bf87898672,237179,237179,0,0,0,1,0
0xB885Cb7070A084A4Ae2de3F8507927fc213998DF,56500,56500,1,1,0,1,0
0xF22Ea607A889EB21451e3f52C9D191da49Dd8836,55426,55426,1,1,0,1,0
0xAF6E064Bf1d7AB04054F3D027429C9fcAAfb9eF6,233270,233270,0,0,0,1,0
0x5b0d1192cCf825DB63D9371d4380f880898e3354,52930,52930,1,1,0,1,0
0x4627F3CF823416E7E4F56764492455061776bba3,232443,232443,0,0,0,1,0
0xC2978441F46a76c60e0cd59E986498b75a40572D,50796,50796,1,1,0,1,0
0x1A5A74DF8E578CaFc56c99C655fB8eAF6692Be6e,50002,50002,1,1,0,1,0
0x59c33EF5CF07e2b7df5d8Ac8Ee931F0E39047A23,50000,50000,1,1,0,1,0
0xeEa1DF0EF4E90154fC893503c5F05c30bBD4e885,50000,50000,1,1,0,1,0
0x151bBAC261D878C4Cc11FBC8c2293831da71C2d8,224846,224846,0,0,0,1,0
0xE131b551994f56d1CCa7bDaaa18E94Fbf80cef7E,222222,222222,0,0,0,1,0
0xAEFB17544Eebfd18e2F5FdFDa43B5Be69Baf8246,41991,41991,1,1,0,0,1
0x848b7CD28E797d4CE2B65fD52049AcfFD0cc8C69,220942,220942,0,0,0,1,0
0x98FD7670F441E3de7f071C0aCFb1Fd567998C8d2,37952,37952,1,1,0,0,1
0x07e7CBa9F29c7732F1c87e018fEBbD13E2f264A5,35591,35591,1,1,0,0,1
0xf0deDE477E1F4283C8Bd47d8D7E21Ee7C7922E12,211673,211673,0,0,0,1,0
0x96DE627bE6262aD2E19553824aAD1aF6Ba1eBe9B,30000,30000,1,1,0,0,1
0xa2225b86CCB530ac9a81D41a3d17ab643A9f7c8C,29035,29035,1,1,0,0,1
0xb9F686e51038A6F05Ae7D8d18Ae8F1D4c7f6dcF0,208333,208333,0,0,0,1,0
0xb1e5B583780d2D97B0E75F3C58dc0751444871f1,26471,26471,1,1,0,0,1
0x4662d29c6384f8050FD19Ef99DD0Dc7a8751737d,206460,206460,0,0,0,1,0
0x68eFB8eADDB7d19E4159d8c0167c92d0a5d63b17,204418,204418,0,0,0,1,0
0x9E97Ebb3BA5e751dcbD55260CE660cDc73dd3854,202117,202117,0,0,0,1,0
0xd9eeb6ac27c3A5eE37F967EEFBd5D7A33bE5ebD2,21422,21422,1,1,0,0,1
0x020D84A6D752EE2ed50937f565b5f13907bDFd83,201229,201229,0,0,0,1,0
0x1E545bbb0cC33163fED5339f7a72167B53EdA13a,20832,20832,1,1,0,0,1
0x069aA49aB1F5eE49A24ccC07E3AbfEC36846Ee92,200000,200000,0,0,0,1,0
0x73E9411A0e782b62887c6A3423aDFAFd747301a8,20000,20000,1,1,0,0,1
0xF249b54d9bdC58906516e3094caf9Ac3DAaa9999,200000,200000,0,0,0,1,0
0x253a41571830Dca332724DFF29Afb8960ffcCDf6,19996,19996,1,1,0,0,1
0x7cA4c6dD8e8754e9A767D21e0542549dA58dd374,198151,198151,0,0,0,1,0
